Fields,Geometry,BoundingBox,X,Y,id,left,top,right,bottom
1,'Polygon',"[-93.5370414757944,44.0654092891148;-93.5370380157944,44.0654122891148]","[-93.5370414757944,-93.5370380157944,-93.5370380157944,-93.5370414757944,-93.5370414757944,NaN]","[44.0654122891148,44.0654122891148,44.0654092891148,44.0654092891148,44.0654122891148,NaN]",1,-93.53720216,44.06566388,-93.5371987,44.06566088
2,'Polygon',"[-93.5370424141698,44.0651544175285;-93.5370389541698,44.0651574175285]","[-93.5370424141698,-93.5370389541698,-93.5370389541698,-93.5370424141698,-93.5370424141698,NaN]","[44.0651574175285,44.0651574175285,44.0651544175285,44.0651544175285,44.0651574175285,NaN]",2,-93.53720216,44.06566088,-93.5371987,44.06565788
3,'Polygon',"[-93.5370888836993,44.0648843920620;-93.5370854236993,44.0648873920620]","[-93.5370888836993,-93.5370854236993,-93.5370854236993,-93.5370888836993,-93.5370888836993,NaN]","[44.0648873920620,44.0648873920620,44.0648843920620,44.0648843920620,44.0648873920620,NaN]",3,-93.53720216,44.06565788,-93.5371987,44.06565488
4,'Polygon',"[-93.5374493521718,44.0648852840676;-93.5374458921718,44.0648882840676]","[-93.5374493521718,-93.5374458921718,-93.5374458921718,-93.5374493521718,-93.5374493521718,NaN]","[44.0648882840676,44.0648882840676,44.0648852840676,44.0648852840676,44.0648882840676,NaN]",4,-93.53720216,44.06565488,-93.5371987,44.06565188
5,'Polygon',"[-93.5378201475783,44.0648813054481;-93.5378166875783,44.0648843054481]","[-93.5378201475783,-93.5378166875783,-93.5378166875783,-93.5378201475783,-93.5378201475783,NaN]","[44.0648843054481,44.0648843054481,44.0648813054481,44.0648813054481,44.0648843054481,NaN]",5,-93.53720216,44.06565188,-93.5371987,44.06564888
6,'Polygon',"[-93.5381935346996,44.0648816135399;-93.5381900746996,44.0648846135399]","[-93.5381935346996,-93.5381900746996,-93.5381900746996,-93.5381935346996,-93.5381935346996,NaN]","[44.0648846135399,44.0648846135399,44.0648816135399,44.0648816135399,44.0648846135399,NaN]",6,-93.53720216,44.06564888,-93.5371987,44.06564588
7,'Polygon',"[-93.5385635137011,44.0648788152154;-93.5385600537011,44.0648818152154]","[-93.5385635137011,-93.5385600537011,-93.5385600537011,-93.5385635137011,-93.5385635137011,NaN]","[44.0648818152154,44.0648818152154,44.0648788152154,44.0648788152154,44.0648818152154,NaN]",7,-93.53720216,44.06564588,-93.5371987,44.06564288
8,'Polygon',"[-93.5389246670900,44.0648746550406;-93.5389212070900,44.0648776550406]","[-93.5389246670900,-93.5389212070900,-93.5389212070900,-93.5389246670900,-93.5389246670900,NaN]","[44.0648776550406,44.0648776550406,44.0648746550406,44.0648746550406,44.0648776550406,NaN]",8,-93.53720216,44.06564288,-93.5371987,44.06563988
9,'Polygon',"[-93.5392842492173,44.0648659876352;-93.5392807892173,44.0648689876352]","[-93.5392842492173,-93.5392807892173,-93.5392807892173,-93.5392842492173,-93.5392842492173,NaN]","[44.0648689876352,44.0648689876352,44.0648659876352,44.0648659876352,44.0648689876352,NaN]",9,-93.53720216,44.06563988,-93.5371987,44.06563688
10,'Polygon',"[-93.5396610780963,44.0648639629853;-93.5396576180963,44.0648669629853]","[-93.5396610780963,-93.5396576180963,-93.5396576180963,-93.5396610780963,-93.5396610780963,NaN]","[44.0648669629853,44.0648669629853,44.0648639629853,44.0648639629853,44.0648669629853,NaN]",10,-93.53720216,44.06563688,-93.5371987,44.06563388
11,'Polygon',"[-93.5396651008171,44.0651297821447;-93.5396616408171,44.0651327821447]","[-93.5396651008171,-93.5396616408171,-93.5396616408171,-93.5396651008171,-93.5396651008171,NaN]","[44.0651327821447,44.0651327821447,44.0651297821447,44.0651297821447,44.0651327821447,NaN]",11,-93.53720216,44.06563388,-93.5371987,44.06563088
12,'Polygon',"[-93.5396682679603,44.0653965240975;-93.5396648079603,44.0653995240975]","[-93.5396682679603,-93.5396648079603,-93.5396648079603,-93.5396682679603,-93.5396682679603,NaN]","[44.0653995240975,44.0653995240975,44.0653965240975,44.0653965240975,44.0653995240975,NaN]",12,-93.53720216,44.06563088,-93.5371987,44.06562788
13,'Polygon',"[-93.5396706184388,44.0656719917668;-93.5396671584388,44.0656749917668]","[-93.5396706184388,-93.5396671584388,-93.5396671584388,-93.5396706184388,-93.5396706184388,NaN]","[44.0656749917668,44.0656749917668,44.0656719917668,44.0656719917668,44.0656749917668,NaN]",13,-93.53720216,44.06562788,-93.5371987,44.06562488
14,'Polygon',"[-93.5392980756356,44.0656728083641;-93.5392946156356,44.0656758083641]","[-93.5392980756356,-93.5392946156356,-93.5392946156356,-93.5392980756356,-93.5392980756356,NaN]","[44.0656758083641,44.0656758083641,44.0656728083641,44.0656728083641,44.0656758083641,NaN]",14,-93.53720216,44.06562488,-93.5371987,44.06562188
15,'Polygon',"[-93.5389254279658,44.0656744573313;-93.5389219679658,44.0656774573313]","[-93.5389254279658,-93.5389219679658,-93.5389219679658,-93.5389254279658,-93.5389254279658,NaN]","[44.0656774573313,44.0656774573313,44.0656744573313,44.0656744573313,44.0656774573313,NaN]",15,-93.53720216,44.06562188,-93.5371987,44.06561888
16,'Polygon',"[-93.5385511945518,44.0656770228908;-93.5385477345518,44.0656800228908]","[-93.5385511945518,-93.5385477345518,-93.5385477345518,-93.5385511945518,-93.5385511945518,NaN]","[44.0656800228908,44.0656800228908,44.0656770228908,44.0656770228908,44.0656800228908,NaN]",16,-93.53720216,44.06561888,-93.5371987,44.06561588
17,'Polygon',"[-93.5381739563762,44.0656773039719;-93.5381704963762,44.0656803039719]","[-93.5381739563762,-93.5381704963762,-93.5381704963762,-93.5381739563762,-93.5381739563762,NaN]","[44.0656803039719,44.0656803039719,44.0656773039719,44.0656773039719,44.0656803039719,NaN]",17,-93.53720216,44.06561588,-93.5371987,44.06561288
18,'Polygon',"[-93.5377929631334,44.0656772608771;-93.5377895031334,44.0656802608771]","[-93.5377929631334,-93.5377895031334,-93.5377895031334,-93.5377929631334,-93.5377929631334,NaN]","[44.0656802608771,44.0656802608771,44.0656772608771,44.0656772608771,44.0656802608771,NaN]",18,-93.53720216,44.06561288,-93.5371987,44.06560988
19,'Polygon',"[-93.5374169514389,44.0656780712764;-93.5374134914389,44.0656810712764]","[-93.5374169514389,-93.5374134914389,-93.5374134914389,-93.5374169514389,-93.5374169514389,NaN]","[44.0656810712764,44.0656810712764,44.0656780712764,44.0656780712764,44.0656810712764,NaN]",19,-93.53720216,44.06560988,-93.5371987,44.06560688
20,'Polygon',"[-93.5370633241210,44.0656697278997;-93.5370598641210,44.0656727278997]","[-93.5370633241210,-93.5370598641210,-93.5370598641210,-93.5370633241210,-93.5370633241210,NaN]","[44.0656727278997,44.0656727278997,44.0656697278997,44.0656697278997,44.0656727278997,NaN]",20,-93.53720216,44.06560688,-93.5371987,44.06560388
