Fields,Geometry,BoundingBox,X,Y,id,count
1,'Polygon',"[-93.5386675822149,44.0656481782703;-93.5386295132149,44.0656518515703]","[-93.5386675822149,-93.5386675822149,-93.5386295132149,-93.5386295132149,-93.5386675822149,NaN]","[44.0656481782703,44.0656516782703,44.0656518515703,44.0656483515703,44.0656481782703,NaN]",0,4
2,'Polygon',"[-93.5388381112309,44.0649977162827;-93.5388342105309,44.0650254547827]","[-93.5388381112309,-93.5388377105309,-93.5388342105309,-93.5388346112309,-93.5388381112309,NaN]","[44.0649977162827,44.0650254547827,44.0650254547827,44.0649977162827,44.0649977162827,NaN]",1,4
3,'Polygon',"[-93.5384206286713,44.0650258512145;-93.5384171202448,44.0650532788045]","[-93.5384206286713,-93.5384206171364,-93.5384171202448,-93.5384171317797,-93.5384206286713,NaN]","[44.0650258512145,44.0650531313284,44.0650532788045,44.0650259986905,44.0650258512145,NaN]",2,4
4,'Polygon',"[-93.5393334053765,44.0652073708045;-93.5393295387145,44.0652367010734]","[-93.5393330373693,-93.5393334053765,-93.5393299067217,-93.5393295387145,-93.5393330373693,NaN]","[44.0652074678351,44.0652367010734,44.0652366040427,44.0652073708045,44.0652074678351,NaN]",3,4
5,'Polygon',"[-93.5383173076200,44.0655059746156;-93.5383134245675,44.0655355405765]","[-93.5383173076200,-93.5383169237511,-93.5383134245675,-93.5383138084363,-93.5383173076200,NaN]","[44.0655059746156,44.0655354649850,44.0655355405765,44.0655060502071,44.0655059746156,NaN]",4,4
6,'Polygon',"[-93.5382216338161,44.0650365845663;-93.5382179453271,44.0650654789917]","[-93.5382216338161,-93.5382214446356,-93.5382179453271,-93.5382181345076,-93.5382216338161,NaN]","[44.0650365845663,44.0650654094216,44.0650654789917,44.0650366541364,44.0650365845663,NaN]",5,4
7,'Polygon',"[-93.5380881868951,44.0651603631495;-93.5380846812249,44.0651891555782]","[-93.5380881807691,-93.5380881868951,-93.5380846873510,-93.5380846812249,-93.5380881807691,NaN]","[44.0651604196366,44.0651891555782,44.0651890990911,44.0651603631495,44.0651604196366,NaN]",6,4
8,'Polygon',"[-93.5385735591471,44.0654452749060;-93.5385699252471,44.0654723765060]","[-93.5385735591471,-93.5385734252471,-93.5385699252471,-93.5385700591471,-93.5385735591471,NaN]","[44.0654452749060,44.0654723765060,44.0654723765060,44.0654452749060,44.0654452749060,NaN]",7,4
9,'Polygon',"[-93.5378946455319,44.0651726672156;-93.5378909014319,44.0652012247156]","[-93.5378946455319,-93.5378944014319,-93.5378909014319,-93.5378911455319,-93.5378946455319,NaN]","[44.0651726672156,44.0652012247156,44.0652012247156,44.0651726672156,44.0651726672156,NaN]",8,4
10,'Polygon',"[-93.5375836797522,44.0649398943513;-93.5375795395522,44.0649642202513]","[-93.5375830395522,-93.5375836797522,-93.5375801797522,-93.5375795395522,-93.5375830395522,NaN]","[44.0649398943513,44.0649642202513,44.0649642202513,44.0649398943513,44.0649398943513,NaN]",9,4
11,'Polygon',"[-93.5374707541116,44.0652039759005;-93.5374671146098,44.0652316018105]","[-93.5374707541116,-93.5374706140352,-93.5374671146098,-93.5374672546863,-93.5374707541116,NaN]","[44.0652040393232,44.0652316018105,44.0652315383878,44.0652039759005,44.0652040393232,NaN]",10,4
12,'Polygon',"[-93.5384684835496,44.0652007424273;-93.5384641568439,44.0652285632977]","[-93.5384684835496,-93.5384676531220,-93.5384641568439,-93.5384649872716,-93.5384684835496,NaN]","[44.0652007424273,44.0652284019284,44.0652285632977,44.0652009037966,44.0652007424273,NaN]",11,4
13,'Polygon',"[-93.5378100056213,44.0654668728046;-93.5378061504213,44.0654942017046]","[-93.5378096504213,-93.5378100056213,-93.5378065056213,-93.5378061504213,-93.5378096504213,NaN]","[44.0654668728046,44.0654942017046,44.0654942017046,44.0654668728046,44.0654668728046,NaN]",12,4
14,'Polygon',"[-93.5392676219917,44.0653820385236;-93.5392638681917,44.0654061941236]","[-93.5392676219917,-93.5392673681917,-93.5392638681917,-93.5392641219917,-93.5392676219917,NaN]","[44.0653820385236,44.0654061941236,44.0654061941236,44.0653820385236,44.0653820385236,NaN]",13,4
15,'Polygon',"[-93.5392169892687,44.0649034853519;-93.5392134599817,44.0649301041768]","[-93.5392169892687,-93.5392169582654,-93.5392134599817,-93.5392134909850,-93.5392169892687,NaN]","[44.0649035949480,44.0649301041768,44.0649299945807,44.0649034853519,44.0649035949480,NaN]",14,4
16,'Polygon',"[-93.5393920739647,44.0655763910508;-93.5393524037647,44.0655801876508]","[-93.5393920739647,-93.5393920739647,-93.5393524037647,-93.5393524037647,-93.5393920739647,NaN]","[44.0655763910508,44.0655798910508,44.0655801876508,44.0655766876508,44.0655763910508,NaN]",15,4
17,'Polygon',"[-93.5383063936720,44.0649054715690;-93.5383027267069,44.0649336701260]","[-93.5383063936720,-93.5383062262753,-93.5383027267069,-93.5383028941035,-93.5383063936720,NaN]","[44.0649054715690,44.0649336151674,44.0649336701260,44.0649055265276,44.0649054715690,NaN]",16,4
18,'Polygon',"[-93.5386293529320,44.0652968444712;-93.5386257614320,44.0653233610711]","[-93.5386293529320,-93.5386292614320,-93.5386257614320,-93.5386258529320,-93.5386293529320,NaN]","[44.0652968444712,44.0653233610711,44.0653233610711,44.0652968444712,44.0652968444712,NaN]",17,4
19,'Polygon',"[-93.5371404296141,44.0649940769010;-93.5371363077141,44.0650225365010]","[-93.5371404296141,-93.5371398077141,-93.5371363077141,-93.5371369296141,-93.5371404296141,NaN]","[44.0649940769010,44.0650225365010,44.0650225365010,44.0649940769010,44.0649940769010,NaN]",18,4
20,'Polygon',"[-93.5377223314999,44.0656151709195;-93.5376826637999,44.0656187172195]","[-93.5376826637999,-93.5377223314999,-93.5377223314999,-93.5376826637999,-93.5376826637999,NaN]","[44.0656151709195,44.0656152172195,44.0656187172195,44.0656186709195,44.0656151709195,NaN]",19,4
21,'Polygon',"[-93.5371996087270,44.0656621641655;-93.5371612935270,44.0656657428655]","[-93.5371996087270,-93.5371996087270,-93.5371612935270,-93.5371612935270,-93.5371996087270,NaN]","[44.0656621641655,44.0656656641655,44.0656657428655,44.0656622428655,44.0656621641655,NaN]",20,4
22,'Polygon',"[-93.5376685142608,44.0655011644430;-93.5376650107608,44.0655281382430]","[-93.5376685142608,-93.5376685107608,-93.5376650107608,-93.5376650142608,-93.5376685142608,NaN]","[44.0655011644430,44.0655281382430,44.0655281382430,44.0655011644430,44.0655011644430,NaN]",21,4
23,'Polygon',"[-93.5385814576948,44.0649426934706;-93.5385779450654,44.0649688582225]","[-93.5385814322032,-93.5385814576948,-93.5385779705570,-93.5385779450654,-93.5385814322032,NaN]","[44.0649426934706,44.0649685584389,44.0649688582225,44.0649429932541,44.0649426934706,NaN]",22,4
24,'Polygon',"[-93.5387620266725,44.0649174952560;-93.5387584545837,44.0649464919750]","[-93.5387620266725,-93.5387619544903,-93.5387584545837,-93.5387585267659,-93.5387620266725,NaN]","[44.0649175208290,44.0649464919750,44.0649464664019,44.0649174952560,44.0649175208290,NaN]",23,4
25,'Polygon',"[-93.5388583078234,44.0652511488816;-93.5388544835234,44.0652781823816]","[-93.5388579835234,-93.5388583078234,-93.5388548078234,-93.5388544835234,-93.5388579835234,NaN]","[44.0652511488816,44.0652781823816,44.0652781823816,44.0652511488816,44.0652511488816,NaN]",24,4
26,'Polygon',"[-93.5396587204905,44.0654392453163;-93.5396547590905,44.0654668564163]","[-93.5396582590905,-93.5396587204905,-93.5396552204905,-93.5396547590905,-93.5396582590905,NaN]","[44.0654392453163,44.0654668564163,44.0654668564163,44.0654392453163,44.0654392453163,NaN]",25,4
27,'Polygon',"[-93.5390090212952,44.0649330717328;-93.5390054868953,44.0649606812328]","[-93.5390090212952,-93.5390089868952,-93.5390054868953,-93.5390055212952,-93.5390090212952,NaN]","[44.0649330717328,44.0649606812328,44.0649606812328,44.0649330717328,44.0649330717328,NaN]",26,4
28,'Polygon',"[-93.5373282367165,44.0653919252382;-93.5373245176165,44.0654192522382]","[-93.5373282367165,-93.5373280176165,-93.5373245176165,-93.5373247367165,-93.5373282367165,NaN]","[44.0653919252382,44.0654192522382,44.0654192522382,44.0653919252382,44.0653919252382,NaN]",27,4
29,'Polygon',"[-93.5391054171711,44.0649954029648;-93.5391016797712,44.0650246126648]","[-93.5391054171711,-93.5391051797712,-93.5391016797712,-93.5391019171712,-93.5391054171711,NaN]","[44.0649954029648,44.0650246126648,44.0650246126648,44.0649954029648,44.0649954029648,NaN]",28,4
30,'Polygon',"[-93.5379543751983,44.0649226760063;-93.5379507678505,44.0649514556456]","[-93.5379543751983,-93.5379542641117,-93.5379507678505,-93.5379508789372,-93.5379543751983,NaN]","[44.0649226760063,44.0649512939107,44.0649514556456,44.0649228377412,44.0649226760063,NaN]",29,4
31,'Polygon',"[-93.5389099567107,44.0654943124842;-93.5389060487357,44.0655224280158]","[-93.5389095483534,-93.5389099567107,-93.5389064570930,-93.5389060487357,-93.5389095483534,NaN]","[44.0654943642148,44.0655224280158,44.0655223762853,44.0654943124842,44.0654943642148,NaN]",30,4
32,'Polygon',"[-93.5380389193262,44.0653830950604;-93.5380347357539,44.0654099116111]","[-93.5380382345831,-93.5380389193262,-93.5380354204969,-93.5380347357539,-93.5380382345831,NaN]","[44.0653830950604,44.0654098210908,44.0654099116111,44.0653831855807,44.0653830950604,NaN]",31,4
33,'Polygon',"[-93.5393893507559,44.0650465057175;-93.5393856920631,44.0650738309667]","[-93.5393891905479,-93.5393893507559,-93.5393858522711,-93.5393856920631,-93.5393891905479,NaN]","[44.0650465057175,44.0650737279891,44.0650738309667,44.0650466086951,44.0650465057175,NaN]",32,4
34,'Polygon',"[-93.5386947643442,44.0650518233338;-93.5386912279442,44.0650793887338]","[-93.5386947643442,-93.5386947279442,-93.5386912279442,-93.5386912643442,-93.5386947643442,NaN]","[44.0650518233338,44.0650793887338,44.0650793887338,44.0650518233338,44.0650518233338,NaN]",33,4
35,'Polygon',"[-93.5372881061992,44.0656340916633;-93.5372503566992,44.0656377273633]","[-93.5372881061992,-93.5372881061992,-93.5372503566992,-93.5372503566992,-93.5372881061992,NaN]","[44.0656340916633,44.0656375916633,44.0656377273633,44.0656342273633,44.0656340916633,NaN]",34,4
36,'Polygon',"[-93.5381553343398,44.0649547566099;-93.5381515900321,44.0649833955979]","[-93.5381553343398,-93.5381550804984,-93.5381515900321,-93.5381518438736,-93.5381553343398,NaN]","[44.0649547566099,44.0649831374404,44.0649833955979,44.0649550147675,44.0649547566099,NaN]",35,4
37,'Polygon',"[-93.5396075559730,44.0651052309137;-93.5396039497045,44.0651305791996]","[-93.5396074486167,-93.5396075559730,-93.5396040570609,-93.5396039497045,-93.5396074486167,NaN]","[44.0651053181714,44.0651305791996,44.0651304919419,44.0651052309137,44.0651053181714,NaN]",36,4
38,'Polygon',"[-93.5395667229126,44.0649017880639;-93.5395627524130,44.0649308943814]","[-93.5395662519667,-93.5395667229126,-93.5395632233589,-93.5395627524130,-93.5395662519667,NaN]","[44.0649018439564,44.0649308943814,44.0649308384890,44.0649017880639,44.0649018439564,NaN]",37,4
39,'Polygon',"[-93.5394246501556,44.0648685136584;-93.5394209581556,44.0648968323584]","[-93.5394246501556,-93.5394244581556,-93.5394209581556,-93.5394211501556,-93.5394246501556,NaN]","[44.0648685136584,44.0648968323584,44.0648968323584,44.0648685136584,44.0648685136584,NaN]",38,4
40,'Polygon',"[-93.5377166542189,44.0650857716704;-93.5377127733189,44.0651132808704]","[-93.5377166542189,-93.5377162733189,-93.5377127733189,-93.5377131542189,-93.5377166542189,NaN]","[44.0650857716704,44.0651132808704,44.0651132808704,44.0650857716704,44.0650857716704,NaN]",39,4
